Feature,Importance
cat__employee_residence_US,0.5446784737700835
cat__employee_residence_IN,0.13550946608263129
cat__company_size_M,0.03855589709549802
cat__experience_level_SE,0.0361239386578962
num__work_year,0.0319456770426894
cat__exp_company_interaction_SE_M,0.030280591992713247
cat__company_location_ES,0.027956300105171666
cat__experience_level_EN,0.02074390339289719
cat__experience_level_MI,0.01618159860473521
num__remote_ratio,0.015332437986629269
cat__company_location_US,0.01454775584860419
cat__employee_residence_ES,0.013123253220064458
cat__exp_company_interaction_MI_S,0.011312751615451333
num__work_year remote_ratio,0.009544127604161788
cat__location_remote_interaction_ES_0,0.006934414992986805
cat__exp_company_interaction_MI_L,0.006320844375164248
cat__company_location_Other,0.00565724783401148
cat__company_size_L,0.005133429944827687
cat__employee_residence_Other,0.004023798061157999
cat__location_salary_tier_Low_Tier,0.0037102775028001393
